numberOfAgents,numberOfCallsPerDay,averageHandleTimeSec,estimatedDurationDays,slaTargetSeconds,risksScore,callTypes,dependencies,CSAT,FCR,estimatedBudgetTND
5,80,600,30,120,0.40,"Sales","None",3.6,0.40,17280.00
6,150,520,40,110,0.35,"Sales","None",3.7,0.45,34560.00
7,190,500,55,100,0.33,"Sales","None",3.8,0.48,46080.00
8,220,480,45,90,0.28,"Sales;Support","CRM",3.9,0.50,41472.00
9,260,450,50,95,0.27,"Support","Training",3.9,0.52,55296.00
10,300,420,60,90,0.30,"Support","CRM",3.8,0.55,63360.00
11,340,345,70,82,0.24,"Support","CRM;Training",3.9,0.58,100800.00
12,450,330,75,80,0.22,"Support","CRM;Training",4.0,0.60,99360.00
14,520,380,80,85,0.25,"Support;Sales","CRM",4.0,0.60,145152.00
15,600,350,95,70,0.20,"Support;Tech","CTI;Training",4.1,0.63,120960.00
16,700,370,88,72,0.19,"Support","CRM;Training",4.0,0.64,165888.00
18,900,360,120,75,0.18,"Support","CRM;IVR",4.0,0.65,82944.00
20,1000,335,105,68,0.14,"Support;Sales","CRM;IVR",4.1,0.67,184320.00
22,1100,340,100,65,0.15,"Support","CRM;IVR",4.0,0.66,158400.00
25,1200,320,90,60,0.12,"Support;Sales","CRM;IVR",4.1,0.68,129600.00
28,1400,310,110,58,0.11,"Support","CRM;IVR",4.2,0.70,241920.00
30,2000,290,140,55,0.09,"Support;Sales","CRM;WFM",4.2,0.72,259200.00
32,2100,295,160,52,0.09,"Support;Tech","WFM;CTI",4.4,0.73,276480.00
35,1800,300,150,50,0.10,"Support;Tech","WFM;CTI",4.3,0.70,302400.00
40,2500,280,180,45,0.08,"Support;Tech","CRM;WFM;CTI",4.5,0.75,345600.00
42,2600,270,190,48,0.08,"Support;Sales","CRM;AI;WFM",4.5,0.77,483840.00
45,2800,250,200,35,0.06,"Support;Sales;Tech","CRM;AI;WFM",4.6,0.79,691200.00
50,3200,260,210,40,0.07,"Support;Sales","CRM;AI;WFM",4.5,0.78,460800.00
55,3600,230,300,32,0.04,"Support;Tech","CRM;AI;CTI;WFM",4.7,0.82,1036800.00
60,4000,240,365,30,0.05,"Support;Sales;Tech","CRM;WFM;AI",4.6,0.80,1008000.00
3,50,700,20,130,0.45,"Sales","None",3.5,0.38,17280.00
4,60,700,20,130,0.45,"Sales","None",3.5,0.38,17280.00
2,40,650,15,140,0.50,"Sales","None",3.4,0.36,11520.00
13,480,360,85,78,0.21,"Support","CRM;Training",4.0,0.62,138240.00
17,820,340,110,70,0.17,"Support;Sales","CRM;IVR",4.1,0.66,207360.00
19,950,310,130,66,0.16,"Support;Sales","CRM;IVR",4.2,0.69,241920.00
21,1050,325,115,67,0.13,"Support","CRM;IVR",4.1,0.65,199584.00
24,1250,305,95,62,0.12,"Support;Sales","CRM;IVR",4.2,0.69,172800.00
26,1350,300,120,59,0.11,"Support;Tech","CRM;WFM",4.3,0.71,259200.00
27,1450,295,130,57,0.10,"Support;Sales","CRM;WFM",4.3,0.71,302400.00
29,1550,285,150,56,0.09,"Support;Sales","CRM;WFM",4.4,0.72,345600.00
31,1650,275,170,54,0.09,"Support;Tech","WFM;CTI",4.4,0.73,388800.00
33,1750,265,180,53,0.08,"Support;Sales","CRM;AI;WFM",4.5,0.74,432000.00
34,1850,260,185,51,0.08,"Support;Tech","CRM;AI;WFM",4.5,0.75,460800.00
36,1950,255,195,49,0.07,"Support;Sales","CRM;AI;WFM",4.5,0.76,499200.00
37,2050,250,205,47,0.07,"Support;Tech","CRM;AI;WFM",4.6,0.77,537600.00
38,2150,245,210,46,0.07,"Support;Sales;Tech","CRM;AI;WFM",4.6,0.78,576000.00
39,2250,240,220,44,0.06,"Support;Tech","CRM;AI;WFM",4.6,0.79,614400.00
41,2350,235,230,43,0.06,"Support;Sales","CRM;AI;WFM",4.6,0.79,652800.00
43,2450,230,240,41,0.05,"Support;Tech","CRM;AI;WFM",4.7,0.80,691200.00
44,2550,225,250,39,0.05,"Support;Sales;Tech","CRM;AI;WFM",4.7,0.81,729600.00
46,2650,220,260,37,0.05,"Support;Tech","CRM;AI;WFM",4.7,0.82,768000.00
47,2750,215,270,36,0.05,"Support;Sales","CRM;AI;WFM",4.7,0.82,806400.00
48,2850,210,280,34,0.04,"Support;Tech","CRM;AI;WFM",4.8,0.83,844800.00
49,2950,205,290,33,0.04,"Support;Sales;Tech","CRM;AI;WFM",4.8,0.84,883200.00
51,3050,200,300,31,0.04,"Support;Tech","CRM;AI;WFM",4.8,0.84,921600.00
52,3150,198,310,30,0.04,"Support;Sales","CRM;AI;WFM",4.8,0.85,960000.00
53,3250,196,320,30,0.04,"Support;Tech","CRM;AI;WFM",4.8,0.85,998400.00
54,3350,194,330,30,0.04,"Support;Sales;Tech","CRM;AI;WFM",4.8,0.85,1036800.00
56,3450,192,340,30,0.04,"Support;Tech","CRM;AI;WFM",4.8,0.85,1075200.00
57,3550,190,350,30,0.04,"Support;Sales","CRM;AI;WFM",4.8,0.85,1113600.00
58,3650,188,360,30,0.04,"Support;Tech","CRM;AI;WFM",4.8,0.85,1152000.00
59,3750,186,365,30,0.04,"Support;Sales;Tech","CRM;AI;WFM",4.8,0.85,1180800.00
61,3850,184,365,30,0.03,"Support;Tech","CRM;AI;WFM",4.8,0.85,1219200.00
62,3950,182,365,30,0.03,"Support;Sales","CRM;AI;WFM",4.8,0.85,1257600.00
63,4050,180,365,30,0.03,"Support;Sales;Tech","CRM;AI;WFM",4.8,0.85,1296000.00
1,30,800,15,150,0.50,"Sales","None",3.4,0.35,8640.00
2,45,720,18,145,0.48,"Sales","None",3.5,0.36,11520.00
3,55,680,22,140,0.46,"Sales","None",3.5,0.37,17280.00
4,75,640,28,135,0.42,"Sales;Support","None",3.6,0.42,23040.00
5,95,600,35,130,0.38,"Support;Sales","None",3.7,0.44,34560.00
6,120,560,45,125,0.34,"Support","CRM",3.8,0.50,46080.00
7,140,520,50,120,0.32,"Support","CRM",3.9,0.52,57600.00
8,160,500,60,115,0.30,"Support;Sales","CRM;IVR",4.0,0.55,69120.00
9,180,480,70,110,0.28,"Support;Tech","CRM;IVR",4.0,0.56,80640.00
10,200,460,80,105,0.26,"Support;Sales","CRM;IVR",4.1,0.58,92160.00
11,220,440,90,100,0.24,"Support;Tech","CRM;WFM",4.1,0.60,103680.00
12,240,420,100,95,0.22,"Support;Sales","CRM;WFM",4.2,0.62,115200.00
13,260,400,110,90,0.20,"Support;Tech","CRM;WFM",4.2,0.64,126720.00
14,280,380,120,88,0.19,"Support;Sales","CRM;WFM",4.3,0.66,138240.00
15,300,360,130,85,0.18,"Support;Tech","CRM;AI",4.3,0.67,149760.00
16,320,340,140,82,0.17,"Support;Sales","CRM;AI",4.4,0.68,161280.00
17,340,320,150,80,0.16,"Support;Tech","CRM;AI",4.4,0.69,172800.00
18,360,300,160,78,0.15,"Support;Sales","CRM;AI",4.4,0.70,184320.00
19,380,290,170,76,0.14,"Support;Tech","CRM;AI",4.5,0.71,195840.00
